regions,day,price,Year
France,2017-08-01,199.1,2017
Germany,2017-08-01,202.0,2017
Japan,2017-08-01,150.6,2017
UK,2017-08-01,189.1,2017
USA,2017-08-01,79.3,2017
Canada,2017-09-01,118.4,2017
France,2017-09-01,199.6,2017
Germany,2017-09-01,202.8,2017
Japan,2017-09-01,146.2,2017
UK,2017-09-01,193.6,2017
USA,2017-09-01,85.9,2017
Canada,2017-10-01,115.7,2017
France,2017-10-01,201.2,2017
Germany,2017-10-01,202.9,2017
Japan,2017-10-01,150.7,2017
UK,2017-10-01,195.0,2017
USA,2017-10-01,83.4,2017
Canada,2017-11-01,123.3,2017
France,2017-11-01,210.2,2017
Germany,2017-11-01,204.9,2017
Japan,2017-11-01,157.1,2017
UK,2017-11-01,201.2,2017
USA,2017-11-01,86.4,2017
Canada,2017-12-01,119.7,2017
France,2017-12-01,212.2,2017
Germany,2017-12-01,205.0,2017
Japan,2017-12-01,160.1,2017
UK,2017-12-01,205.4,2017
USA,2017-12-01,83.5,2017
Canada,2018-01-01,123.6,2018
France,2018-01-01,221.7,2018
Germany,2018-01-01,207.3,2018
Japan,2018-01-01,160.9,2018
UK,2018-01-01,208.0,2018
USA,2018-01-01,83.9,2018
Canada,2018-02-01,123.1,2018
France,2018-02-01,228.1,2018
Germany,2018-02-01,210.1,2018
Japan,2018-02-01,168.7,2018
UK,2018-02-01,212.6,2018
USA,2018-02-01,86.1,2018
Canada,2018-03-01,127.2,2018
France,2018-03-01,232.0,2018
Germany,2018-03-01,211.5,2018
Japan,2018-03-01,175.2,2018
UK,2018-03-01,215.5,2018
USA,2018-03-01,88.5,2018
Canada,2018-04-01,135.1,2018
France,2018-04-01,232.1,2018
Germany,2018-04-01,215.4,2018
Japan,2018-04-01,169.9,2018
UK,2018-04-01,216.6,2018
USA,2018-04-01,92.7,2018
Canada,2018-05-01,138.7,2018
France,2018-05-01,232.6,2018
Germany,2018-05-01,220.4,2018
Japan,2018-05-01,173.2,2018
UK,2018-05-01,216.9,2018
USA,2018-05-01,98.6,2018
Canada,2018-06-01,135.5,2018
France,2018-06-01,239.1,2018
Germany,2018-06-01,225.0,2018
Japan,2018-06-01,181.9,2018
UK,2018-06-01,223.1,2018
USA,2018-06-01,101.2,2018
Canada,2018-07-01,136.8,2018
France,2018-07-01,235.0,2018
Germany,2018-07-01,223.8,2018
Japan,2018-07-01,179.2,2018
UK,2018-07-01,220.0,2018
USA,2018-07-01,98.9,2018
Canada,2018-08-01,134.1,2018
France,2018-08-01,233.0,2018
Germany,2018-08-01,223.3,2018
Japan,2018-08-01,178.6,2018
UK,2018-08-01,216.0,2018
USA,2018-08-01,97.7,2018
Canada,2018-09-01,133.4,2018
France,2018-09-01,236.4,2018
Germany,2018-09-01,229.8,2018
Japan,2018-09-01,178.6,2018
UK,2018-09-01,221.9,2018
USA,2018-09-01,97.7,2018
Canada,2018-10-01,129.5,2018
France,2018-10-01,232.6,2018
Germany,2018-10-01,227.5,2018
Japan,2018-10-01,182.5,2018
UK,2018-10-01,220.9,2018
USA,2018-10-01,98.3,2018
Canada,2018-11-01,116.4,2018
France,2018-11-01,222.1,2018
Germany,2018-11-01,231.2,2018
Japan,2018-11-01,182.3,2018
UK,2018-11-01,218.4,2018
USA,2018-11-01,92.4,2018
Canada,2018-12-01,109.3,2018
France,2018-12-01,218.3,2018
Germany,2018-12-01,218.7,2018
Japan,2018-12-01,178.3,2018
UK,2018-12-01,207.4,2018
USA,2018-12-01,84.0,2018
Canada,2019-01-01,106.9,2019
France,2019-01-01,216.2,2019
Germany,2019-01-01,203.9,2019
Japan,2019-01-01,174.4,2019
UK,2019-01-01,205.1,2019
USA,2019-01-01,79.1,2019
Canada,2019-02-01,109.7,2019
France,2019-02-01,216.0,2019
Germany,2019-02-01,200.1,2019
Japan,2019-02-01,171.5,2019
UK,2019-02-01,204.7,2019
USA,2019-02-01,80.5,2019
Canada,2019-03-01,121.7,2019
France,2019-03-01,223.7,2019
Germany,2019-03-01,205.4,2019
Japan,2019-03-01,174.5,2019
UK,2019-03-01,211.6,2019
USA,2019-03-01,88.9,2019
Canada,2019-04-01,133.4,2019
France,2019-04-01,234.4,2019
Germany,2019-04-01,219.2,2019
Japan,2019-04-01,176.2,2019
UK,2019-04-01,216.8,2019
USA,2019-04-01,98.9,2019
Canada,2019-05-01,133.7,2019
France,2019-05-01,238.6,2019
Germany,2019-05-01,229.4,2019
Japan,2019-05-01,183.7,2019
UK,2019-05-01,222.0,2019
USA,2019-05-01,101.7,2019
Canada,2019-06-01,122.0,2019
France,2019-06-01,230.7,2019
Germany,2019-06-01,225.3,2019
Japan,2019-06-01,181.9,2019
UK,2019-06-01,216.0,2019
USA,2019-06-01,95.4,2019
Canada,2019-07-01,126.9,2019
France,2019-07-01,222.0,2019
Germany,2019-07-01,214.1,2019
Japan,2019-07-01,176.5,2019
UK,2019-07-01,203.6,2019
USA,2019-07-01,95.2,2019
Canada,2019-08-01,120.5,2019
France,2019-08-01,221.8,2019
Germany,2019-08-01,210.7,2019
Japan,2019-08-01,180.5,2019
UK,2019-08-01,207.2,2019
USA,2019-08-01,91.8,2019
Canada,2019-09-01,120.3,2019
France,2019-09-01,218.1,2019
Germany,2019-09-01,205.4,2019
Japan,2019-09-01,177.1,2019
UK,2019-09-01,208.4,2019
USA,2019-09-01,90.8,2019
Canada,2019-10-01,120.6,2019
France,2019-10-01,218.8,2019
Germany,2019-10-01,203.7,2019
Japan,2019-10-01,179.6,2019
UK,2019-10-01,211.1,2019
USA,2019-10-01,91.6,2019
Canada,2019-11-01,118.1,2019
France,2019-11-01,220.4,2019
Germany,2019-11-01,204.4,2019
Japan,2019-11-01,178.7,2019
UK,2019-11-01,214.1,2019
USA,2019-11-01,90.8,2019
Canada,2019-12-01,117.3,2019
France,2019-12-01,222.8,2019
Germany,2019-12-01,203.1,2019
Japan,2019-12-01,178.4,2019
UK,2019-12-01,215.4,2019
USA,2019-12-01,88.9,2019
Canada,2020-01-01,117.2,2020
France,2020-01-01,223.7,2020
Germany,2020-01-01,203.9,2020
Japan,2020-01-01,180.8,2020
UK,2020-01-01,217.3,2020
USA,2020-01-01,88.0,2020
Canada,2020-02-01,115.4,2020
France,2020-02-01,217.0,2020
Germany,2020-02-01,202.9,2020
Japan,2020-02-01,180.2,2020
UK,2020-02-01,214.6,2020
USA,2020-02-01,85.7,2020
Canada,2020-03-01,93.5,2020
France,2020-03-01,215.3,2020
Germany,2020-03-01,201.7,2020
Japan,2020-03-01,185.3,2020
UK,2020-03-01,205.8,2020
USA,2020-03-01,82.3,2020
Canada,2020-04-01,80.0,2020
