UK,Germany,France,Japan,Canada,USA,canada,france,usa,germany,japan,uk
207.2,210.7,221.8,180.5,120.5,91.8,44.75,14.959749,34.8082454831929,20.413596,9.062580411343662,77.13524041623698
208.4,205.4,218.1,177.1,120.3,90.8,43.209999,14.0746116,35.821515525733965,21.371364,8.912212758245742,91.96022145729587
211.1,203.7,218.8,179.6,120.6,91.6,46.900002,15.442455000000002,39.90162832941824,22.487397,8.893576803083134,101.40849762351752
214.1,204.4,220.4,178.7,118.1,90.8,50.049999,15.680376,37.881378938863456,25.282402531800003,9.239682197683814,113.36095824597712
215.4,203.1,222.8,178.4,117.3,88.9,48.509998,14.5029336,38.16513567656165,23.981574,8.676313968311781,104.14340567767674
217.3,203.9,223.7,180.8,117.2,88.0,44.330002,12.2506416,34.87718711055724,20.189034,8.186523055011573,84.5719516248237
214.6,202.9,217.0,180.2,115.4,85.7,34.25,10.1043316,25.212118654813608,17.098962999999998,6.736466702859211,64.80298467312147
205.8,201.7,215.3,185.3,93.5,82.3,15.75,7.5231186,16.387704290789834,12.6349434,6.802443290516535,37.86462332086972
190.5,183.8,193.7,171.4,80.0,68.3,20.24,7.2497847,17.13313917337235,12.7272958,6.419577542062912,34.36016901752204
182.5,181.9,189.4,163.7,93.6,69.0,15.9,6.1257851,14.55576498712762,13.7833934,6.543162927546892,44.82669768011046
181.0,193.2,199.7,163.6,102.9,74.6,16.950001,6.1414524,17.90481827995682,13.6168776,6.301619287513494,37.961335798735405
190.4,201.2,207.9,167.4,108.0,78.3,15.11,5.3092113,15.10830714285714,11.3792726,5.434642857142856,28.821879754727416
196.1,201.4,208.0,169.6,106.0,76.9,17.6,6.0030848,17.510879473328835,13.878954000000002,6.977515192437543,34.79932609441107
194.8,201.4,208.0,169.6,106.0,76.9,15.69,4.62072,15.994327187786766,11.4816,6.246767331275548,28.73931395861601
193.5,198.8,206.7,168.5,104.0,75.0,14.73,4.388096,14.988808713410483,11.5121152,5.780258679373723,30.848439519857152
196.2,194.8,206.7,168.5,104.0,73.7,24.700001,7.778,18.790073516840486,15.0053176,6.449529834159685,51.64978968605889
194.9,197.4,208.9,165.6,107.0,73.9,22.77,7.947264,20.45303643048128,16.787043,5.732556818181818,47.75714470745451
204.2,218.3,219.6,169.5,113.0,79.6,20.02,7.627340699999999,21.874224594572567,16.641328499999997,5.618248716486023,57.87859027340578
213.2,220.9,222.1,171.1,120.0,84.3,25.1,8.6313972,26.8144302775571,19.009809,6.172184707050646,74.0666097782313
216.3,225.1,225.1,171.0,127.0,93.0,26.15,7.783630400000001,30.28694930722641,17.267257,6.120751680079648,64.5124700670071
217.5,227.5,226.3,172.5,130.0,95.0,24.77,6.8552532,27.34323388498212,15.878280599999998,5.954581134003065,72.73002308644874
216.4,226.1,223.7,168.1,133.0,95.5,27.360001,6.862208400000001,29.761311041218335,15.8397452,5.893328919053137,71.45874721342804
222.6,231.2,226.3,172.5,137.0,99.1,25.5,5.986156000000001,25.51792763124745,13.957892,5.71476482617587,62.36179386081012
230.0,238.8,233.7,179.7,142.0,104.3,24.98,5.7601462,25.2057577669135,14.0336504,5.862379670144733,57.48786663466344
234.2,239.2,234.2,181.3,141.0,104.5,24.51,5.8350495,24.803006878395426,12.5501635,5.970633252039358,54.21437964740428
233.3,242.2,234.6,181.6,140.0,105.9,23.129999,6.298280699999999,25.8371058644326,8.8366381,6.371138190742151,55.26833081816382
236.3,246.3,236.3,180.3,148.0,108.2,22.190001,5.982086000000001,24.327725405,8.395497599999999,5.866529310344827,49.47209554831704
246.7,250.5,237.9,186.3,146.0,113.3,20.799999,5.2644375000000005,21.887136321039904,7.6796325,4.949041285196062,39.46467462902749
248.2,241.8,236.7,186.8,142.0,111.3,21.129999,5.5870143,23.917969184679382,8.919594,5.566654607940671,45.86298000000001
250.4,251.7,244.1,185.6,150.0,111.9,22.860001,5.7212175,20.929957231767613,9.7973151,5.057755606568956,51.72902061134384
255.6,263.2,259.4,190.4,161.0,118.8,23.950001,5.6495349,21.905661634103023,9.8291326,5.562133214920071,49.1486400032336
