regions,day,price,Year
Germany,2015-05-01,17.2544,2015
Japan,2015-05-01,6.622808738296924,2015
UK,2015-05-01,159.5502890986652,2015
USA,2015-05-01,50.92711426839056,2015
Canada,2015-06-01,13.21,2015
France,2015-06-01,8.612622700000001,2015
Germany,2015-06-01,15.8128245,2015
Japan,2015-06-01,6.771533260233919,2015
UK,2015-06-01,146.85095325533544,2015
USA,2015-06-01,49.89945233251096,2015
Canada,2015-07-01,11.77,2015
France,2015-07-01,9.057153,2015
Germany,2015-07-01,17.16897,2015
Japan,2015-07-01,7.9779945945945965,2015
UK,2015-07-01,162.68717026274598,2015
USA,2015-07-01,50.222538035675676,2015
Canada,2015-08-01,11.23,2015
France,2015-08-01,8.840717999999999,2015
Germany,2015-08-01,15.533505000000002,2015
Japan,2015-08-01,7.894182547642928,2015
UK,2015-08-01,173.24077639965915,2015
USA,2015-08-01,50.862022430929144,2015
Canada,2015-09-01,10.73,2015
France,2015-09-01,9.255288,2015
Germany,2015-09-01,18.458579999999998,2015
Japan,2015-09-01,7.50997508009968,2015
UK,2015-09-01,176.58712524890828,2015
USA,2015-09-01,51.34020200356,2015
Canada,2015-10-01,10.76,2015
France,2015-10-01,9.8724129,2015
Germany,2015-10-01,19.875057,2015
Japan,2015-10-01,8.027790728951851,2015
UK,2015-10-01,180.86445882530202,2015
USA,2015-10-01,61.32966868098271,2015
Canada,2015-11-01,10.43,2015
France,2015-11-01,9.158965,2015
Germany,2015-11-01,19.6895975,2015
Japan,2015-11-01,7.5361532177543795,2015
UK,2015-11-01,169.5809438749652,2015
USA,2015-11-01,54.36043123990197,2015
Canada,2015-12-01,10.21,2015
France,2015-12-01,9.910836,2015
Germany,2015-12-01,20.562867,2015
Japan,2015-12-01,7.591754716981133,2015
UK,2015-12-01,179.4293680753269,2015
USA,2015-12-01,56.405402996603776,2015
Canada,2016-01-01,7.85,2016
France,2016-01-01,11.1722356,2016
Germany,2016-01-01,20.353694,2016
Japan,2016-01-01,8.191825112519519,2016
UK,2016-01-01,170.45373328537366,2016
USA,2016-01-01,54.13547076623496,2016
Canada,2016-02-01,7.22,2016
France,2016-02-01,12.8033682,2016
Germany,2016-02-01,21.026260500000006,2016
Japan,2016-02-01,8.156234840132305,2016
UK,2016-02-01,147.19810239250987,2016
USA,2016-02-01,57.45801176038221,2016
Canada,2016-03-01,8.96,2016
France,2016-03-01,12.2913038,2016
Germany,2016-03-01,20.879929500000003,2016
Japan,2016-03-01,7.7199494113318625,2016
UK,2016-03-01,138.04759506491,2016
USA,2016-03-01,55.445728532192796,2016
Canada,2016-04-01,9.33,2016
France,2016-04-01,11.6649808,2016
Germany,2016-04-01,20.196264000000006,2016
Japan,2016-04-01,7.4391829951014685,2016
UK,2016-04-01,125.64184097709352,2016
USA,2016-04-01,45.19531535216935,2016
Canada,2016-05-01,9.63,2016
France,2016-05-01,10.343064000000002,2016
Germany,2016-05-01,17.993217,2016
Japan,2016-05-01,7.366629834254144,2016
UK,2016-05-01,133.05036178250558,2016
USA,2016-05-01,39.97774796106288,2016
Canada,2016-06-01,8.89,2016
France,2016-06-01,8.3446506,2016
Germany,2016-06-01,15.359057999999996,2016
Japan,2016-06-01,7.50577232862001,2016
UK,2016-06-01,102.1590313014814,2016
USA,2016-06-01,36.95450558564525,2016
Canada,2016-07-01,8.99,2016
France,2016-07-01,7.46841,2016
Germany,2016-07-01,15.29657,2016
Japan,2016-07-01,7.314539739559947,2016
UK,2016-07-01,107.04282931528091,2016
USA,2016-07-01,45.87741356084418,2016
Canada,2016-08-01,8.96,2016
France,2016-08-01,7.1811801000000015,2016
Germany,2016-08-01,15.2361215,2016
Japan,2016-08-01,7.199424041562165,2016
UK,2016-08-01,114.90491517246274,2016
USA,2016-08-01,47.42996107246507,2016
Canada,2016-09-01,10.6,2016
France,2016-09-01,6.999442200000002,2016
Germany,2016-09-01,14.494977,2016
Japan,2016-09-01,7.247414319038218,2016
UK,2016-09-01,117.66319618893516,2016
USA,2016-09-01,48.066638671631075,2016
Canada,2016-10-01,12.65,2016
France,2016-10-01,8.164702,2016
Germany,2016-10-01,17.106505000000002,2016
Japan,2016-10-01,7.6339037720634355,2016
UK,2016-10-01,105.2535881142353,2016
