regions,price,Year,iso_alpha
Japan,178.6,2018,JPN
UK,221.9,2018,GBR
USA,97.7,2018,USA
Canada,129.5,2018,CAN
France,232.6,2018,FRA
Germany,227.5,2018,DEU
Japan,182.5,2018,JPN
UK,220.9,2018,GBR
USA,98.3,2018,USA
Canada,116.4,2018,CAN
France,222.1,2018,FRA
Germany,231.2,2018,DEU
Japan,182.3,2018,JPN
UK,218.4,2018,GBR
USA,92.4,2018,USA
Canada,109.3,2018,CAN
France,218.3,2018,FRA
Germany,218.7,2018,DEU
Japan,178.3,2018,JPN
UK,207.4,2018,GBR
USA,84.0,2018,USA
Canada,106.9,2019,CAN
France,216.2,2019,FRA
Germany,203.9,2019,DEU
Japan,174.4,2019,JPN
UK,205.1,2019,GBR
USA,79.1,2019,USA
Canada,109.7,2019,CAN
France,216.0,2019,FRA
Germany,200.1,2019,DEU
Japan,171.5,2019,JPN
UK,204.7,2019,GBR
USA,80.5,2019,USA
Canada,121.7,2019,CAN
France,223.7,2019,FRA
Germany,205.4,2019,DEU
Japan,174.5,2019,JPN
UK,211.6,2019,GBR
USA,88.9,2019,USA
Canada,133.4,2019,CAN
France,234.4,2019,FRA
Germany,219.2,2019,DEU
Japan,176.2,2019,JPN
UK,216.8,2019,GBR
USA,98.9,2019,USA
Canada,133.7,2019,CAN
France,238.6,2019,FRA
Germany,229.4,2019,DEU
Japan,183.7,2019,JPN
UK,222.0,2019,GBR
USA,101.7,2019,USA
Canada,122.0,2019,CAN
France,230.7,2019,FRA
Germany,225.3,2019,DEU
Japan,181.9,2019,JPN
UK,216.0,2019,GBR
USA,95.4,2019,USA
Canada,126.9,2019,CAN
France,222.0,2019,FRA
Germany,214.1,2019,DEU
Japan,176.5,2019,JPN
UK,203.6,2019,GBR
USA,95.2,2019,USA
Canada,120.5,2019,CAN
France,221.8,2019,FRA
Germany,210.7,2019,DEU
Japan,180.5,2019,JPN
UK,207.2,2019,GBR
USA,91.8,2019,USA
Canada,120.3,2019,CAN
France,218.1,2019,FRA
Germany,205.4,2019,DEU
Japan,177.1,2019,JPN
UK,208.4,2019,GBR
USA,90.8,2019,USA
Canada,120.6,2019,CAN
France,218.8,2019,FRA
Germany,203.7,2019,DEU
Japan,179.6,2019,JPN
UK,211.1,2019,GBR
USA,91.6,2019,USA
Canada,118.1,2019,CAN
France,220.4,2019,FRA
Germany,204.4,2019,DEU
Japan,178.7,2019,JPN
UK,214.1,2019,GBR
USA,90.8,2019,USA
Canada,117.3,2019,CAN
France,222.8,2019,FRA
Germany,203.1,2019,DEU
Japan,178.4,2019,JPN
UK,215.4,2019,GBR
USA,88.9,2019,USA
Canada,117.2,2020,CAN
France,223.7,2020,FRA
Germany,203.9,2020,DEU
Japan,180.8,2020,JPN
UK,217.3,2020,GBR
USA,88.0,2020,USA
Canada,115.4,2020,CAN
France,217.0,2020,FRA
Germany,202.9,2020,DEU
Japan,180.2,2020,JPN
UK,214.6,2020,GBR
USA,85.7,2020,USA
Canada,93.5,2020,CAN
France,215.3,2020,FRA
Germany,201.7,2020,DEU
Japan,185.3,2020,JPN
UK,205.8,2020,GBR
USA,82.3,2020,USA
Canada,80.0,2020,CAN
France,193.7,2020,FRA
Germany,183.8,2020,DEU
Japan,171.4,2020,JPN
UK,190.5,2020,GBR
USA,68.3,2020,USA
Canada,93.6,2020,CAN
France,189.4,2020,FRA
Germany,181.9,2020,DEU
Japan,163.7,2020,JPN
UK,182.5,2020,GBR
USA,69.0,2020,USA
Canada,102.9,2020,CAN
France,199.7,2020,FRA
Germany,193.2,2020,DEU
Japan,163.6,2020,JPN
UK,181.0,2020,GBR
USA,74.6,2020,USA
Canada,108.0,2020,CAN
France,207.9,2020,FRA
Germany,201.2,2020,DEU
Japan,167.4,2020,JPN
UK,190.4,2020,GBR
USA,78.3,2020,USA
Canada,106.0,2020,CAN
France,208.0,2020,FRA
Germany,201.4,2020,DEU
Japan,169.6,2020,JPN
UK,196.1,2020,GBR
USA,76.9,2020,USA
Canada,106.0,2020,CAN
France,208.0,2020,FRA
Germany,201.4,2020,DEU
Japan,169.6,2020,JPN
UK,194.8,2020,GBR
USA,76.9,2020,USA
Canada,104.0,2020,CAN
France,206.7,2020,FRA
Germany,198.8,2020,DEU
Japan,168.5,2020,JPN
UK,193.5,2020,GBR
USA,75.0,2020,USA
Canada,104.0,2020,CAN
France,206.7,2020,FRA
Germany,194.8,2020,DEU
Japan,168.5,2020,JPN
UK,196.2,2020,GBR
USA,73.7,2020,USA
Canada,107.0,2020,CAN
France,208.9,2020,FRA
Germany,197.4,2020,DEU
Japan,165.6,2020,JPN
UK,194.9,2020,GBR
USA,73.9,2020,USA
Canada,113.0,2021,CAN
France,219.6,2021,FRA
Germany,218.3,2021,DEU
Japan,169.5,2021,JPN
UK,204.2,2021,GBR
USA,79.6,2021,USA
Canada,120.0,2021,CAN
France,222.1,2021,FRA
Germany,220.9,2021,DEU
Japan,171.1,2021,JPN
UK,213.2,2021,GBR
USA,84.3,2021,USA
Canada,127.0,2021,CAN
France,225.1,2021,FRA
Germany,225.1,2021,DEU
Japan,171.0,2021,JPN
UK,216.3,2021,GBR
USA,93.0,2021,USA
Canada,130.0,2021,CAN
France,226.3,2021,FRA
Germany,227.5,2021,DEU
Japan,172.5,2021,JPN
UK,217.5,2021,GBR
USA,95.0,2021,USA
Canada,133.0,2021,CAN
France,223.7,2021,FRA
Germany,226.1,2021,DEU
Japan,168.1,2021,JPN
UK,216.4,2021,GBR
USA,95.5,2021,USA
Canada,137.0,2021,CAN
France,226.3,2021,FRA
Germany,231.2,2021,DEU
Japan,172.5,2021,JPN
UK,222.6,2021,GBR
USA,99.1,2021,USA
Canada,142.0,2021,CAN
France,233.7,2021,FRA
Germany,238.8,2021,DEU
Japan,179.7,2021,JPN
UK,230.0,2021,GBR
USA,104.3,2021,USA
Canada,141.0,2021,CAN
France,234.2,2021,FRA
Germany,239.2,2021,DEU
Japan,181.3,2021,JPN
UK,234.2,2021,GBR
USA,104.5,2021,USA
Canada,140.0,2021,CAN
France,234.6,2021,FRA
Germany,242.2,2021,DEU
Japan,181.6,2021,JPN
UK,233.3,2021,GBR
USA,105.9,2021,USA
Canada,148.0,2021,CAN
France,236.3,2021,FRA
Germany,246.3,2021,DEU
Japan,180.3,2021,JPN
UK,236.3,2021,GBR
USA,108.2,2021,USA
Canada,146.0,2021,CAN
France,237.9,2021,FRA
Germany,250.5,2021,DEU
Japan,186.3,2021,JPN
UK,246.7,2021,GBR
USA,113.3,2021,USA
Canada,142.0,2021,CAN
France,236.7,2021,FRA
Germany,241.8,2021,DEU
Japan,186.8,2021,JPN
UK,248.2,2021,GBR
USA,111.3,2021,USA
Canada,150.0,2022,CAN
France,244.1,2022,FRA
Germany,251.7,2022,DEU
Japan,185.6,2022,JPN
UK,250.4,2022,GBR
USA,111.9,2022,USA
Canada,161.0,2022,CAN
France,259.4,2022,FRA
Germany,263.2,2022,DEU
Japan,190.4,2022,JPN
UK,255.6,2022,GBR
USA,118.8,2022,USA
Canada,181.0,2022,CAN
France,277.2,2022,FRA
Germany,300.0,2022,DEU
Japan,186.1,2022,JPN
UK,267.1,2022,GBR
USA,141.8,2022,USA
Canada,176.0,2022,CAN
France,246.9,2022,FRA
Germany,278.6,2022,DEU
Japan,173.5,2022,JPN
UK,264.6,2022,GBR
USA,138.0,2022,USA
Canada,198.0,2022,CAN
France,258.4,2022,FRA
Germany,289.3,2022,DEU
Japan,169.7,2022,JPN
UK,266.1,2022,GBR
USA,150.4,2022,USA
Canada,210.0,2022,CAN
France,285.5,2022,FRA
Germany,267.6,2022,DEU
Japan,165.2,2022,JPN
UK,290.7,2022,GBR
USA,166.5,2022,USA
Canada,189.0,2022,CAN
