UK TUI Airways in CAD,Germany LHA in CAD,Air France in CAD,Japan All Nippon Airways in CAD,Air Canada,American Airlines in CAD
34.36016901752204,12.7272958,7.2497847,6.419577542062912,20.24,17.13313917337235
44.82669768011046,13.7833934,6.1257851,6.543162927546892,15.9,14.55576498712762
37.961335798735405,13.6168776,6.1414524,6.301619287513494,16.950001,17.90481827995682
28.821879754727416,11.3792726,5.3092113,5.434642857142856,15.11,15.10830714285714
34.79932609441107,13.878954000000002,6.0030848,6.977515192437543,17.6,17.510879473328835
28.739313958616012,11.4816,4.62072,6.246767331275548,15.69,15.994327187786766
30.848439519857152,11.5121152,4.388096,5.780258679373723,14.73,14.988808713410485
51.64978968605889,15.005317600000001,7.7780000000000005,6.449529834159685,24.700001,18.790073516840486
47.75714470745451,16.787043,7.9472640000000006,5.732556818181818,22.77,20.45303643048128
57.87859027340578,16.641328499999997,7.627340699999999,5.618248716486023,20.02,21.874224594572567
74.0666097782313,19.009809,8.6313972,6.172184707050646,25.1,26.8144302775571
64.5124700670071,17.267257,7.783630400000001,6.120751680079648,26.15,30.286949307226415
72.73002308644874,15.878280599999998,6.8552532,5.954581134003065,24.77,27.34323388498212
71.45874721342804,15.839745200000001,6.862208400000001,5.893328919053137,27.360001,29.761311041218338
62.36179386081012,13.957892000000001,5.986156000000001,5.71476482617587,25.5,25.517927631247446
57.48786663466344,14.0336504,5.7601462,5.862379670144733,24.98,25.2057577669135
54.21437964740428,12.5501635,5.8350495,5.970633252039358,24.51,24.803006878395426
55.26833081816382,8.8366381,6.298280699999999,6.371138190742151,23.129999,25.837105864432598
49.47209554831704,8.395497599999999,5.982086000000001,5.866529310344827,22.190001,24.327725405
39.46467462902749,7.6796325,5.2644375000000005,4.949041285196062,20.799999,21.887136321039904
45.86298000000001,8.919594,5.5870143,5.566654607940671,21.129999,23.917969184679386
51.72902061134384,9.7973151,5.7212175,5.057755606568956,22.860001,20.929957231767613
49.1486400032336,9.8291326,5.6495349,5.562133214920071,23.950001,21.905661634103023
48.70052827470284,10.417456399999999,5.7962852,5.238536104640745,24.25,23.14849489338828
44.96940400499138,9.8747165,5.458497,4.809016467607673,22.5,23.445516648570393
35.87392382132812,9.164587599999999,2.4146661,5.05704174573055,22.190001,22.763058199810242
24.51828366095963,7.5314304,1.5126479999999998,4.78093063217871,16.040001,16.88640680112146
24.524397562551933,8.087104799999999,1.8119755999999998,4.710875779376499,17.389999,17.743435971223022
23.87893189964158,7.760606,1.9136726000000002,4.9068542949281735,17.690001,16.598968044561712
18.800238802863323,7.7934142,1.71262845,4.962727908836466,16.6,15.849136345461815
23.311365798414496,9.3043143,1.78434315,5.512721583914649,19.610001,19.493863356585965
26.591172232680282,10.3132133,1.72739925,5.768366341610535,19.290001,19.53932542475118
24.93108557428688,10.916813499999998,1.7306629,5.7155873349913895,19.389999,17.106416682609524
31.299989852637754,14.022684,2.235312,6.065179073692106,22.58,21.850889326832924
30.47780937192494,14.247793199999998,2.5682872999999997,5.44607490361667,20.120001,21.278307325133103
